Trajectoire;Secteur;Branche;Branche2;Usage;Usage2;Année;Consommation
Basse;Industrie;Industrie agro-alimentaire;E12 - Industrie laitiere;Autres usages;Autres usages;2005;3376,561706
Basse;Industrie;Industrie agro-alimentaire;E13 - Sucreries,raffineries de sucre;Autres usages;Autres usages;2005;346,484136
Basse;Industrie;Industrie agro-alimentaire;E14 - Industries alimentaires (sauf.laiteries, sucreries);Autres usages;Autres usages;2005;15714,10194
Basse;Industrie;Sidérurgie;E16 - Sidérurgie;Autres usages;Autres usages;2005;13577,87177
Basse;Industrie;Métallurgie et Mécanique (hors industrie automobile);E18 - Première transformation de métaux.non.ferreux;Autres usages;Autres usages;2005;9094,040271
Basse;Industrie;Minéraux et matériaux;E19 - Production de minéraux divers;Autres usages;Autres usages;2005;802,612861
Basse;Industrie;Minéraux et matériaux;E20 - Fabrication plâtres, chaux, ciment;Autres usages;Autres usages;2005;3202,002635
Basse;Industrie;Minéraux et matériaux;E21 - Production matériaux.de construction, céramiques;Autres usages;Autres usages;2005;3349,734838
Basse;Industrie;Minéraux et matériaux;E22 - Industrie du verre;Autres usages;Autres usages;2005;3404,303228
Basse;Industrie;Chimie et parachimie;E23 - Fabrication d'engrais;Autres usages;Autres usages;2005;909,700415
Basse;Industrie;Chimie et parachimie;E24 - Autres Industries chimie minérale de base;Autres usages;Autres usages;2005;10044,61625
Basse;Industrie;Chimie et parachimie;E25 - Fabric. de matières plastiques, caoutchoucs synthétiques;Autres usages;Autres usages;2005;2757,718437
Basse;Industrie;Chimie et parachimie;E26 - Autres Industries chimie organique de base;Autres usages;Autres usages;2005;8268,914912
Basse;Industrie;Chimie et parachimie;E28 - Parachimie, Industries pharmaceutiques;Autres usages;Autres usages;2005;2476,217757
Basse;Industrie;Métallurgie et Mécanique (hors industrie automobile);E29 - Fonderie, travail des metaux;Autres usages;Autres usages;2005;8831,443451
Basse;Industrie;Métallurgie et Mécanique (hors industrie automobile);E30 - Construction mécanique;Autres usages;Autres usages;2005;3040,605593
Basse;Industrie;Métallurgie et Mécanique (hors industrie automobile);E31 - Construction électrique et.électronique;Autres usages;Autres usages;2005;5681,502153
Basse;Industrie;Construction automobile;E32 - Construction autres matériels de transport.terrestre;Autres usages;Autres usages;2005;7478,407479
Basse;Industrie;Métallurgie et Mécanique (hors industrie automobile);E33 - Construction navale, aéronautique et armement;Autres usages;Autres usages;2005;2526,996578
Basse;Industrie;Industries diverses;E34 - Industrie textile, cuir, habillement;Autres usages;Autres usages;2005;2564,762315
Basse;Industrie;Industrie du papier et du carton;E35 - Industrie du papier et du carton;Autres usages;Autres usages;2005;11807,06059
Basse;Industrie;Industries diverses;E36 - Industrie caoutchouc;Autres usages;Autres usages;2005;1931,270578
Basse;Industrie;Industries diverses;E37 - Transformation des matières plastiques;Autres usages;Autres usages;2005;6500,790715
Basse;Industrie;Industries diverses;E38 - Industries diverses;Autres usages;Autres usages;2005;6190,76381
Basse;Industrie;Industries diverses;non réparti;Autres usages;Autres usages;2005;2498,982159
Basse;Pertes;Pertes;Pertes;Pertes;Pertes;2005;30462,09174
Basse;Résidentiel;Résidentiel;Résidentiel;Autres usages résidentiels;USR - Usages résidentiels;2005;20558,6307
Basse;Résidentiel;Résidentiel;Résidentiel;Eclairage intérieur;ECL - Eclairage résidentiel;2005;10292,11368
Basse;Résidentiel;Résidentiel;Résidentiel;Froid;FRR - Froid résidentiel;2005;18323,72421
Basse;Résidentiel;Résidentiel;Résidentiel;Lavage;LAV - Lavage résidentiel;2005;11222,15336
Basse;Résidentiel;Résidentiel;Résidentiel;Produits gris & bruns résidentiels;TIC - Produits gris-bruns;2005;14026,28916
Basse;Résidentiel;Résidentiel;Résidentiel;Cuisson;CUI - Cuisson résidentielle;2005;9712,552821
Basse;Résidentiel;Résidentiel;Résidentiel;Eau chaude sanitaire;ECA - Eau chaude asservie;2005;13658,96258
Basse;Résidentiel;Résidentiel;Résidentiel;Eau chaude sanitaire;ECD - Eau chaude non asservie;2005;3414,668236
Basse;Résidentiel;Résidentiel;Résidentiel;Eau chaude sanitaire;CES - Chauffe-eau solaire;2005;0,072408433
Basse;Résidentiel;Résidentiel;Résidentiel;Chauffage;CDO - Chauffage domestique (hors PAC R/R et R/O);2005;34356,69061
Basse;Résidentiel;Résidentiel;Résidentiel;Chauffage;PAA - Pompes à chaleur air-air;2005;17,05906977
Basse;Résidentiel;Résidentiel;Résidentiel;Chauffage;PAE - Pompes à chaleur air-eau;2005;537,1749051
Basse;Tertiaire;Agriculture BT;Agriculture BT;Autres usages;Autres usages;2005;3968
Basse;Tertiaire;Armées;Armées;Autres usages;Autres usages;2005;1533
Basse;Tertiaire;Artisanat;Artisanat;Autres usages;Autres usages;2005;4361,549504
Basse;Tertiaire;Assainissement, gestion des déchets;Assainissement, gestion des déchets;Autres usages;Autres usages;2005;1080,688326
Basse;Tertiaire;Bureaux, administration;Bureaux, administration;Chauffage;Chauffage;2005;5836,328924
Basse;Tertiaire;Bureaux, administration;Bureaux, administration;Climatisation & ventilation;Climatisation & ventilation;2005;4361,930985
Basse;Tertiaire;Bureaux, administration;Bureaux, administration;Eau chaude sanitaire;Eau chaude sanitaire;2005;468,2249352
Basse;Tertiaire;Bureaux, administration;Bureaux, administration;Cuisson;Cuisson;2005;399,9603652
