node;filiere1;filiere2;filiere3;trajectoire;date;capacite;date_BP_num
at;enr;biogas;biogas;bas;2026;0;2025
be;enr;biogas;biogas;bas;2026;0;2025
ch;enr;biogas;biogas;bas;2026;0;2025
de;enr;biogas;biogas;bas;2026;4998;2025
es;enr;biogas;biogas;bas;2026;0;2025
fr;enr;biogas;biogas;bas;2026;658;2025
gb;enr;biogas;biogas;bas;2026;1614;2025
ie;enr;biogas;biogas;bas;2026;0;2025
ni;enr;biogas;biogas;bas;2026;0;2025
it;enr;biogas;biogas;bas;2026;0;2025
lu;enr;biogas;biogas;bas;2026;0;2025
nl;enr;biogas;biogas;bas;2026;0;2025
pt;enr;biogas;biogas;bas;2026;0;2025
at;enr;biogas;biogas;haut;2026;0;2025
be;enr;biogas;biogas;haut;2026;0;2025
ch;enr;biogas;biogas;haut;2026;0;2025
de;enr;biogas;biogas;haut;2026;6198;2025
es;enr;biogas;biogas;haut;2026;0;2025
fr;enr;biogas;biogas;haut;2026;928;2025
gb;enr;biogas;biogas;haut;2026;1964;2025
ie;enr;biogas;biogas;haut;2026;0;2025
ni;enr;biogas;biogas;haut;2026;0;2025
it;enr;biogas;biogas;haut;2026;0;2025
lu;enr;biogas;biogas;haut;2026;0;2025
nl;enr;biogas;biogas;haut;2026;0;2025
pt;enr;biogas;biogas;haut;2026;0;2025
at;enr;biogas;biogas;moyen;2026;0;2025
be;enr;biogas;biogas;moyen;2026;0;2025
ch;enr;biogas;biogas;moyen;2026;0;2025
de;enr;biogas;biogas;moyen;2026;5748;2025
es;enr;biogas;biogas;moyen;2026;0;2025
fr;enr;biogas;biogas;moyen;2026;748;2025
gb;enr;biogas;biogas;moyen;2026;1789;2025
ie;enr;biogas;biogas;moyen;2026;0;2025
ni;enr;biogas;biogas;moyen;2026;0;2025
it;enr;biogas;biogas;moyen;2026;0;2025
lu;enr;biogas;biogas;moyen;2026;0;2025
nl;enr;biogas;biogas;moyen;2026;0;2025
pt;enr;biogas;biogas;moyen;2026;0;2025
at;enr;biomass;biomass;bas;2026;500;2025
be;enr;biomass;biomass;bas;2026;700;2025
ch;enr;biomass;biomass;bas;2026;290;2025
de;enr;biomass;biomass;bas;2026;1830;2025
es;enr;biomass;biomass;bas;2026;1442;2025
fr;enr;biomass;biomass;bas;2026;851;2025
gb;enr;biomass;biomass;bas;2026;3238;2025
ie;enr;biomass;biomass;bas;2026;54;2025
ni;enr;biomass;biomass;bas;2026;70;2025
it;enr;biomass;biomass;bas;2026;4187;2025
lu;enr;biomass;biomass;bas;2026;20;2025
nl;enr;biomass;biomass;bas;2026;0;2025
pt;enr;biomass;biomass;bas;2026;150;2025
at;enr;biomass;biomass;haut;2026;500;2025
be;enr;biomass;biomass;haut;2026;700;2025
ch;enr;biomass;biomass;haut;2026;290;2025
de;enr;biomass;biomass;haut;2026;1980;2025
es;enr;biomass;biomass;haut;2026;1802;2025
fr;enr;biomass;biomass;haut;2026;1041;2025
gb;enr;biomass;biomass;haut;2026;3780;2025
ie;enr;biomass;biomass;haut;2026;264;2025
ni;enr;biomass;biomass;haut;2026;135;2025
it;enr;biomass;biomass;haut;2026;4837;2025
lu;enr;biomass;biomass;haut;2026;20;2025
nl;enr;biomass;biomass;haut;2026;0;2025
pt;enr;biomass;biomass;haut;2026;150;2025
at;enr;biomass;biomass;moyen;2026;500;2025
be;enr;biomass;biomass;moyen;2026;700;2025
ch;enr;biomass;biomass;moyen;2026;290;2025
de;enr;biomass;biomass;moyen;2026;1830;2025
es;enr;biomass;biomass;moyen;2026;1802;2025
fr;enr;biomass;biomass;moyen;2026;1021;2025
gb;enr;biomass;biomass;moyen;2026;3448;2025
ie;enr;biomass;biomass;moyen;2026;114;2025
ni;enr;biomass;biomass;moyen;2026;87;2025
it;enr;biomass;biomass;moyen;2026;4487;2025
lu;enr;biomass;biomass;moyen;2026;20;2025
nl;enr;biomass;biomass;moyen;2026;0;2025
pt;enr;biomass;biomass;moyen;2026;150;2025
at;enr;geothermal;geothermal;bas;2026;0;2025
be;enr;geothermal;geothermal;bas;2026;0;2025
ch;enr;geothermal;geothermal;bas;2026;0;2025
de;enr;geothermal;geothermal;bas;2026;39;2025
es;enr;geothermal;geothermal;bas;2026;0;2025
fr;enr;geothermal;geothermal;bas;2026;0;2025
gb;enr;geothermal;geothermal;bas;2026;0;2025
ie;enr;geothermal;geothermal;bas;2026;0;2025
ni;enr;geothermal;geothermal;bas;2026;0;2025
it;enr;geothermal;geothermal;bas;2026;824;2025
lu;enr;geothermal;geothermal;bas;2026;0;2025
nl;enr;geothermal;geothermal;bas;2026;0;2025
pt;enr;geothermal;geothermal;bas;2026;0;2025
at;enr;geothermal;geothermal;haut;2026;0;2025
be;enr;geothermal;geothermal;haut;2026;0;2025
ch;enr;geothermal;geothermal;haut;2026;0;2025
de;enr;geothermal;geothermal;haut;2026;39;2025
es;enr;geothermal;geothermal;haut;2026;0;2025
fr;enr;geothermal;geothermal;haut;2026;0;2025
gb;enr;geothermal;geothermal;haut;2026;15;2025
ie;enr;geothermal;geothermal;haut;2026;0;2025
ni;enr;geothermal;geothermal;haut;2026;0;2025
it;enr;geothermal;geothermal;haut;2026;974;2025
lu;enr;geothermal;geothermal;haut;2026;0;2025
nl;enr;geothermal;geothermal;haut;2026;0;2025
pt;enr;geothermal;geothermal;haut;2026;0;2025
at;enr;geothermal;geothermal;moyen;2026;0;2025
be;enr;geothermal;geothermal;moyen;2026;0;2025
ch;enr;geothermal;geothermal;moyen;2026;0;2025
de;enr;geothermal;geothermal;moyen;2026;39;2025
es;enr;geothermal;geothermal;moyen;2026;0;2025
fr;enr;geothermal;geothermal;moyen;2026;0;2025
gb;enr;geothermal;geothermal;moyen;2026;0;2025
ie;enr;geothermal;geothermal;moyen;2026;0;2025
ni;enr;geothermal;geothermal;moyen;2026;0;2025
it;enr;geothermal;geothermal;moyen;2026;899;2025
lu;enr;geothermal;geothermal;moyen;2026;0;2025
nl;enr;geothermal;geothermal;moyen;2026;0;2025
pt;enr;geothermal;geothermal;moyen;2026;0;2025
at;enr;hydro;hydro;bas;2026;4500;2025
be;enr;hydro;hydro;bas;2026;1000;2025
ch;enr;hydro;hydro;bas;2026;8000;2025
de;enr;hydro;hydro;bas;2026;900;2025
es;enr;hydro;hydro;bas;2026;5500;2025
fr;enr;hydro;hydro;bas;2026;21400;2025
gb;enr;hydro;hydro;bas;2026;800;2025
ie;enr;hydro;hydro;bas;2026;200;2025
ni;enr;hydro;hydro;bas;2026;0;2025
it;enr;hydro;hydro;bas;2026;5000;2025
lu;enr;hydro;hydro;bas;2026;0;2025
nl;enr;hydro;hydro;bas;2026;0;2025
pt;enr;hydro;hydro;bas;2026;0;2025
at;enr;hydro;hydro;haut;2026;4500;2025
be;enr;hydro;hydro;haut;2026;1000;2025
ch;enr;hydro;hydro;haut;2026;8000;2025
de;enr;hydro;hydro;haut;2026;900;2025
es;enr;hydro;hydro;haut;2026;5500;2025
fr;enr;hydro;hydro;haut;2026;21400;2025
gb;enr;hydro;hydro;haut;2026;800;2025
ie;enr;hydro;hydro;haut;2026;200;2025
ni;enr;hydro;hydro;haut;2026;0;2025
it;enr;hydro;hydro;haut;2026;5000;2025
lu;enr;hydro;hydro;haut;2026;0;2025
nl;enr;hydro;hydro;haut;2026;0;2025
pt;enr;hydro;hydro;haut;2026;0;2025
at;enr;hydro;hydro;moyen;2026;4500;2025
be;enr;hydro;hydro;moyen;2026;1000;2025
ch;enr;hydro;hydro;moyen;2026;8000;2025
de;enr;hydro;hydro;moyen;2026;900;2025
es;enr;hydro;hydro;moyen;2026;5500;2025
fr;enr;hydro;hydro;moyen;2026;21400;2025
gb;enr;hydro;hydro;moyen;2026;800;2025
ie;enr;hydro;hydro;moyen;2026;200;2025
ni;enr;hydro;hydro;moyen;2026;0;2025
it;enr;hydro;hydro;moyen;2026;5000;2025
lu;enr;hydro;hydro;moyen;2026;0;2025
nl;enr;hydro;hydro;moyen;2026;0;2025
pt;enr;hydro;hydro;moyen;2026;0;2025
at;enr;hydro;step;bas;2026;5200;2025
be;enr;hydro;step;bas;2026;1100;2025
ch;enr;hydro;step;bas;2026;4000;2025
de;enr;hydro;step;bas;2026;4000;2025
es;enr;hydro;step;bas;2026;5000;2025
fr;enr;hydro;step;bas;2026;4200;2025
gb;enr;hydro;step;bas;2026;2000;2025
ie;enr;hydro;step;bas;2026;200;2025
it;enr;hydro;step;bas;2026;4000;2025
lu;enr;hydro;step;bas;2026;0;2025
ni;enr;hydro;step;bas;2026;0;2025
nl;enr;hydro;step;bas;2026;0;2025
pt;enr;hydro;step;bas;2026;2400;2025
at;enr;hydro;step;haut;2026;5200;2025
be;enr;hydro;step;haut;2026;1100;2025
ch;enr;hydro;step;haut;2026;4000;2025
de;enr;hydro;step;haut;2026;4700;2025
es;enr;hydro;step;haut;2026;5000;2025
fr;enr;hydro;step;haut;2026;4200;2025
gb;enr;hydro;step;haut;2026;2100;2025
ie;enr;hydro;step;haut;2026;200;2025
ni;enr;hydro;step;haut;2026;4000;2025
it;enr;hydro;step;haut;2026;0;2025
lu;enr;hydro;step;haut;2026;0;2025
nl;enr;hydro;step;haut;2026;0;2025
pt;enr;hydro;step;haut;2026;2400;2025
at;enr;hydro;step;moyen;2026;5200;2025
be;enr;hydro;step;moyen;2026;1100;2025
ch;enr;hydro;step;moyen;2026;4000;2025
de;enr;hydro;step;moyen;2026;4200;2025
es;enr;hydro;step;moyen;2026;5000;2025
fr;enr;hydro;step;moyen;2026;4200;2025
gb;enr;hydro;step;moyen;2026;2100;2025
ie;enr;hydro;step;moyen;2026;200;2025
ni;enr;hydro;step;moyen;2026;4000;2025
it;enr;hydro;step;moyen;2026;0;2025
lu;enr;hydro;step;moyen;2026;0;2025
nl;enr;hydro;step;moyen;2026;0;2025
pt;enr;hydro;step;moyen;2026;2400;2025
at;enr;hydrokinetic;hydrokinetic;bas;2026;0;2025
