from;to;concat;hypothesis;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036
be;fr;be-fr;low;1800;1800;1800;1800;1800;1800;1800;1800;1800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800
ch;fr;ch-fr;low;1100;1100;1100;1100;1100;1100;1100;1400;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600
de;fr;de-fr;low;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;4800;4800;4800;4800;4800;4800;4800
es;fr;es-fr;low;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;5000;5000
fr;be;fr-be;low;3300;3300;3300;3300;3300;3300;3300;3300;3300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300
fr;ch;fr-ch;low;3000;3000;3500;3500;3500;3500;3500;3500;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700
fr;de;fr-de;low;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;4800;4800;4800;4800;4800;4800;4800
fr;es;fr-es;low;2700;2700;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;5000;5000
fr;gb;fr-gb;low;1800;1800;1800;1800;1800;2700;3600;3600;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
fr;ie;fr-ie;low;;;;;;;;;;;;;;;;;;;;;
fr;it;fr-it;low;3100;3100;3100;3100;3100;3100;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300
gb;fr;gb-fr;low;1800;1800;1800;1800;1800;2700;3600;3600;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
ie;fr;ie-fr;low;;;;;;;;;;;;;;;;;;;;;
it;fr;it-fr;low;1000;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
be;fr;be-fr;mid;1800;1800;1800;1800;1800;1800;1800;1800;1800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800
ch;fr;ch-fr;mid;1100;1100;1100;1100;1100;1100;1100;1400;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600
de;fr;de-fr;mid;3000;3000;3000;3000;3000;3000;3000;3000;3000;3300;3300;3300;3300;3300;4800;4800;4800;4800;4800;4800;4800
es;fr;es-fr;mid;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;3000;3000;3000;3000;5000;5000;5000;5000;5000;5000;5000
fr;be;fr-be;mid;3300;3300;3300;3300;3300;3300;3300;3300;3300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300
fr;ch;fr-ch;mid;3000;3000;3500;3500;3500;3500;3500;3500;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700
fr;de;fr-de;mid;3000;3000;3000;3000;3000;3000;3000;3000;3000;3300;3300;3300;3300;3300;4800;4800;4800;4800;4800;4800;4800
fr;es;fr-es;mid;2700;2700;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;2800;5000;5000;5000;5000;5000;5000;5000
fr;gb;fr-gb;mid;1800;1800;1800;1800;1800;2700;3600;3600;4000;4000;4000;5400;5400;5400;5400;5400;5400;5400;5400;5400;5400
fr;ie;fr-ie;mid;;;;;;;;;;;;;;;700;700;700;700;700;700;700
fr;it;fr-it;mid;3100;3100;3100;3100;3100;3100;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300
gb;fr;gb-fr;mid;1800;1800;1800;1800;1800;2700;3600;3600;4000;4000;4000;5400;5400;5400;5400;5400;5400;5400;5400;5400;5400
ie;fr;ie-fr;mid;;;;;;;;;;;;;;;700;700;700;700;700;700;700
it;fr;it-fr;mid;1000;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
be;fr;be-fr;high;1800;1800;1800;1800;1800;1800;1800;1800;1800;3300;3300;3300;3300;3300;4300;4300;4300;4300;4300;4300;4300
ch;fr;ch-fr;high;1100;1100;1100;1100;1100;1100;1100;1400;1600;1600;1600;1600;1600;1600;1800;1800;1800;1800;1800;3100;3100
de;fr;de-fr;high;3000;3000;3000;3000;3000;3000;3000;3000;3000;4800;4800;4800;4800;4800;4800;4800;4800;4800;4800;4800;4800
es;fr;es-fr;high;2000;2000;2000;2000;2000;2000;2000;2000;3000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
fr;be;fr-be;high;3300;3300;3300;3300;3300;3300;3300;3300;3300;4800;4800;4800;4800;4800;5800;5800;5800;5800;5800;5800;5800
fr;ch;fr-ch;high;3000;3000;3500;3500;3500;3500;3500;3500;3700;3700;3700;3700;3700;3700;4700;4700;4700;4700;4700;5450;5450
fr;de;fr-de;high;3000;3000;3000;3000;3000;3000;3000;3000;3000;4800;4800;4800;4800;4800;4800;4800;4800;4800;4800;4800;4800
fr;es;fr-es;high;2700;2700;2800;2800;2800;2800;2800;2800;2800;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
gb;fr;gb-fr;high;1800;1800;1800;1800;1800;2700;3600;3600;4000;4000;4000;4000;4000;4000;7400;7400;7400;7400;7400;7400;7400
ie;fr;ie-fr;high;;;;;;;;;;;;;;;700;700;700;700;700;700;700
fr;it;fr-it;high;3100;3100;3100;3100;3100;3100;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300
fr;gb;fr-gb;high;1800;1800;1800;1800;1800;2700;3600;3600;4000;4000;4000;4000;4000;4000;7400;7400;7400;7400;7400;7400;7400
fr;ie;fr-ie;high;;;;;;;;;;;;;;;700;700;700;700;700;700;700
it;fr;it-fr;high;1000;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
