Pays;filiere1;filiere2;filiere3;Ampère;Hertz;Volt;Watt
France;enr;;;haut;moyen;moyen;haut
France;enr;hydro;hydro;moyen;moyen;moyen;moyen
France;enr;hydro;step;moyen;bas;bas;haut
Europe;enr;;;haut;haut;moyen;haut
Europe;enr;hydro;hydro;moyen;moyen;moyen;moyen
Europe;enr;hydro;step;moyen;bas;bas;haut
France;nuclear;;;ampere;hertz;volt;watt
Europe;nuclear;;;base;base;base;base
France;thermal;;;ampere;hertz;volt;watt
Europe;thermal;;;base;base;base;base
France;consommation;;;Haute;Haute;Intermédiaire 3;Intermédiaire 2
Europe;consommation;;;Haute;Haute;Intermédiaire 3;Intermédiaire 2
France;interconnexions;;;Haute;Moyen;Haute;Moyen
Europe;interconnexions;;;Haute;Moyen;Haute;Moyen
