Nom;R;G;B;Ordre;Type
Nucléaire;248;202;77;1;production
Charbon;191;171;116;2;production
Cycles combinés au gaz;246;102;53;3;production
Fioul lourd;168;137;190;4;production
Turbines à combustion;153;153;255;5;production
Cogénérations;255;153;153;6;production
Autre thermique décentralisé;135;90;45;7;production
Hydraulique;104;156;201;8;production
Eolien;158;220;206;9;production
Photovoltaïque;246;158;81;10;production
Bioénergies;68;158;143;11;production
Energies marines;20;20;150;12;production
Effacements;80;80;80;13;production
Consommation France;167;255;79;1;bilan
Echanges;255;200;200;2;bilan
Pompage;20;70;140;3;bilan
Energie déversée;0;0;0;4;bilan
